"shapeid","x","y","gml_id","changeType","startDate","lastUpdate","entryDate","uprn","logicalSta","blpuState","blpuStateD","rpc","localCusto","country","addressbas","postcodeLo","multiOccCo","deliveryPo","delivery_1","delivery_2","udprn","buildingNu","thoroughfa","postTown","postcode","postcodeTy","delivery_3","processDat","landProper","landProp_1","landProp_2","lpiKey","landProp_3","paoStartNu","usrn","usrnMatchI","officialFl","applicatio","applicat_1","applicat_2","xRefKey","crossRefer","version","source","classifica","classifi_1","classifi_2","classKey","classifi_3","classSchem","schemeVers","buildingNa","paoStartSu","parentUPRN","subBuildin","saoText","saoStartNu","paoText","organisati","organisa_1","organisa_2","orgKey","organisa_3","endDate","landProp_4","applicat_3","classifi_4","organisa_4","dependentT","paoEndNumb","saoStartSu","dependentL","paoEndSuff","organisa_5","department","doubleDepe","saoEndNumb","poBoxNumbe"
"72","294870.18833440926","91974.6171754715","uk.addressbase.uprn.10024663449","I","2011-09-16","2016-02-10","2009-05-13","10024663449.0","1","NULL","NULL","1","7655","E","N","EX2 5NJ","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2009-05-13)","(1:7655L101167086)","(1:1)","NULL","(1:14200075)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2008-03-05,2009-03-28,2006-03-18)","(4:7655X134357955,7655X700387110,7655X600387110,7655X900387110)","(4:E05003505,osgb1000002062543720,osgb4000000025384191,...)","(3:4,5,9)","(4:7666OW,7666MT,7666MI,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2009-05-13)","(1:7655C000387110)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"73","294816.1837184477","92582.02690651687","uk.addressbase.uprn.10024663450","I","2011-09-16","2016-02-10","2010-02-24","10024663450.0","1","NULL","NULL","1","7655","E","N","EX1 3DH","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2010-02-24)","(1:7655L101167087)","(1:1)","NULL","(1:14200876)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2008-03-05,2016-02-07,2006-03-18,2010-01-18)","(4:7655X700387111,7655X134357956,7655X900387111,7655X600387111)","(4:osgb1000002062553220,E05003508,osgb5000000000054029,...)","(3:3,9,8)","(4:7666MT,7666OW,7666MA,7666MI)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-02-24)","(1:7655C000387111)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"74","294379.87650319317","92630.11943005773","uk.addressbase.uprn.10024663452","I","2011-09-16","2016-02-10","2007-11-22","10024663452.0","1","NULL","NULL","1","7655","E","N","EX1 3AT","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2007-11-22)","(1:7655L101167089)","(1:1)","NULL","(1:14200508)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2006-03-09,2005-11-15,2006-03-18)","(4:7655X134357958,7655X600387113,7655X700387113,7655X900387113)","(4:E05003495,osgb4000000025321357,osgb1000012363503,osgb5000000000054032)","(3:4,4,7)","(4:7666OW,7666MI,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2007-11-22)","(1:7655C000387113)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"75","294124.7754716899","92347.81223684386","uk.addressbase.uprn.10024663454","I","2011-09-16","2016-02-10","2010-02-24","10024663454.0","1","NULL","NULL","1","7655","E","N","EX1 2RS","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2010-02-24)","(1:7655L101167091)","(1:1)","NULL","(1:14200310)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2008-02-27,2016-02-07,2005-11-16,2006-03-18)","(4:7655X600387115,7655X134357960,7655X700387115,7655X900387115)","(4:osgb4000000025439369,E05003495,osgb1000002062567659,...)","(3:1,4,12)","(4:7666MI,7666OW,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-02-24)","(1:7655C000387115)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATION AT 128 FORE STREET.)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"76","294342.07476218767","92369.11530116093","uk.addressbase.uprn.10024663455","I","2011-09-16","2016-02-10","2008-10-06","10024663455.0","1","NULL","NULL","1","7655","E","N","EX1 3BR","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2008-10-06)","(1:7655L101167092)","(1:1)","NULL","(1:14200879)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2006-03-18,2008-08-16,2016-02-07,2005-11-16)","(4:7655X900387116,7655X600387116,7655X134357961,7655X700387116)","(4:osgb5000000000054035,osgb4000000025384317,E05003495,...)","(3:8,5,3)","(4:7666MA,7666MI,7666OW,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-10-06)","(1:7655C000387116)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATION 2M FROM 181 FORE STREET. ON VICTOR LANE)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"77","291966.0452485159","90189.08084424812","uk.addressbase.uprn.10024663541","I","2011-09-16","2016-02-10","2011-09-01","10024663541.0","1","NULL","NULL","1","7655","E","N","EX2 8TT","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101167177)","(1:1)","NULL","(1:14202216)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2006-03-18,2006-03-17,2016-02-07,2005-09-16)","(4:7655X900389091,7655X700389091,7655X134358791,7655X600389091)","(4:osgb5000000000057214,osgb1000002070487859,E05003491,...)","(3:16,2,4)","(4:7666MA,7666MT,7666OW,7666MI)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000389091)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"78","291088.62845217774","94252.47070697954","uk.addressbase.uprn.10024664561","I","2011-09-16","2016-02-10","2009-12-06","10024664561.0","1","NULL","NULL","1","7655","E","N","EX4 4NY","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2009-12-06)","(1:7655L101168688)","(1:1)","NULL","(1:14201294)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2006-03-18,2005-09-15,2015-11-19)","(4:7655X134363716,7655X900405218,7655X600405218,7655X700405218)","(4:E05003493,osgb5000000000054040,osgb4000000025306179,...)","(3:11,4,4)","(4:7666OW,7666MA,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2009-12-06)","(1:7655C000405218)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"79","291524.23665120255","90547.58259426604","uk.addressbase.uprn.10024665610","I","2011-09-16","2016-02-10","2008-12-18","10024665610.0","1","NULL","NULL","1","7655","E","N","EX2 8SB","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2008-12-18)","(1:7655L101170241)","(1:1)","NULL","(1:14200164)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2008-02-27,2006-03-18,2008-08-15)","(4:7655X134368741,7655X700389269,7655X900389269,7655X600389269)","(4:E05003491,osgb1000000347959097,osgb5000000000052809,...)","(3:5,10,4)","(4:7666OW,7666MT,7666MA,7666MI)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-12-18)","(1:7655C000389269)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"80","291974.34724819515","90497.48078900756","uk.addressbase.uprn.10024665612","I","2011-09-16","2016-02-10","2008-04-21","10024665612.0","1","NULL","NULL","1","7655","E","N","EX2 8PE","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101170243)","(1:1)","NULL","(1:14201838)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2006-03-17,2006-03-18,2016-02-07,2006-01-25)","(4:7655X700389271,7655X900389271,7655X134368742,7655X600389271)","(4:osgb1000000347959060,osgb5000000000052811,E05003491,...)","(3:5,10,4)","(4:7666MT,7666MA,7666OW,7666MI)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655C000389271)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"81","291842.44312783994","90030.18406232286","uk.addressbase.uprn.10024665613","I","2011-09-16","2016-02-10","2011-07-29","10024665613.0","1","NULL","NULL","1","7655","E","N","EX2 8TE","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-07-29)","(1:7655L101170244)","(1:1)","NULL","(1:14200170)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2008-08-16,2016-02-07,2006-03-18,2006-03-17)","(4:7655X600389272,7655X134368743,7655X900389272,7655X700389272)","(4:osgb4000000025447582,E05003491,osgb5000000000052814,osgb1000012285487)","(3:1,13,4)","(4:7666MI,7666OW,7666MA,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-07-29)","(1:7655C000389272)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
