"shapeid","x","y","gml_id","changeType","startDate","lastUpdate","entryDate","uprn","logicalSta","blpuState","blpuStateD","rpc","localCusto","country","addressbas","postcodeLo","multiOccCo","deliveryPo","delivery_1","delivery_2","udprn","buildingNu","thoroughfa","postTown","postcode","postcodeTy","delivery_3","processDat","landProper","landProp_1","landProp_2","lpiKey","landProp_3","paoStartNu","usrn","usrnMatchI","officialFl","applicatio","applicat_1","applicat_2","xRefKey","crossRefer","version","source","classifica","classifi_1","classifi_2","classKey","classifi_3","classSchem","schemeVers","buildingNa","paoStartSu","parentUPRN","subBuildin","saoText","saoStartNu","paoText","organisati","organisa_1","organisa_2","orgKey","organisa_3","endDate","landProp_4","applicat_3","classifi_4","organisa_4","dependentT","paoEndNumb","saoStartSu","dependentL","paoEndSuff","organisa_5","department","doubleDepe","saoEndNumb","poBoxNumbe"
"10","291813.93854768947","91793.60470061816","uk.addressbase.uprn.10024657980","I","2011-09-16","2016-02-10","2011-09-01","10024657980.0","1","NULL","NULL","1","7655","E","N","EX2 8PP","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101159163)","(1:1)","NULL","(1:14200428)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-18,2016-02-07,2010-02-18,2015-07-23)","(4:7655X900396763,7655X134331569,7655X600396763,7655X700396763)","(4:osgb5000000000053821,E05003491,osgb4000000025424922,...)","(3:15,6,1)","(4:7666MA,7666OW,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000396763)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATION 7M FROM 68 ISCA ROAD. 3M FROM UNNAMED ROAD)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"11","291275.23045641015","91842.40995414092","uk.addressbase.uprn.10024666656","I","2011-09-16","2016-02-10","2010-04-25","10024666656.0","1","NULL","NULL","1","7655","E","N","EX2 9AX","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101171831)","(1:1)","NULL","(1:14202708)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-18,2016-02-07,2010-02-18,2015-07-16)","(4:7655X900405421,7655X134373789,7655X600405421,7655X700405421)","(4:osgb5000000000052839,E05003506,osgb4000000025447544,...)","(3:14,3,1)","(4:7666MA,7666OW,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-04-25)","(1:7655C000405421)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATIONS 8M FROM 4 CHURCH ROAD. 1M FROM CHURCH LANE)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"12","291445.33683317434","91939.5095329223","uk.addressbase.uprn.10024666657","I","2011-09-16","2016-02-10","2011-09-01","10024666657.0","1","NULL","NULL","1","7655","E","N","EX4 1AJ","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101171832)","(1:1)","NULL","(1:14200799)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2005-09-17,2006-03-18,2016-02-07,2008-01-30)","(4:7655X600405422,7655X900405422,7655X134373790,7655X700405422)","(4:osgb4000000025345857,osgb5000000000052840,E05003506,...)","(3:3,53,4)","(4:7666MI,7666MA,7666OW,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000405422)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"13","291761.5374887811","91233.78937012548","uk.addressbase.uprn.10024666658","I","2011-09-16","2016-02-10","2008-04-21","10024666658.0","1","NULL","NULL","1","7655","E","N","EX2 8JR","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655L101171833)","(1:1)","NULL","(1:14200262)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-17,2016-02-07,2006-03-09,2006-03-18)","(4:7655X700405423,7655X134373791,7655X600405423,7655X900405423)","(4:osgb1000012288485,E05003491,osgb4000000025320402,osgb5000000000052844)","(3:4,8,9)","(4:7666MT,7666OW,7666MI,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655C000405423)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"14","291889.736710014","91817.29700351314","uk.addressbase.uprn.10024665620","I","2011-09-16","2016-02-10","2011-09-01","10024665620.0","1","NULL","NULL","1","7655","E","N","EX2 8BY","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101170251)","(1:1)","NULL","(1:14200893)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-10,2016-02-07)","(4:2015-07-23,2008-01-30,2006-03-18,2016-02-07)","(4:7655X600389279,7655X700389279,7655X900389279,7655X134368750)","(4:osgb5000005157730294,osgb1000000347978358,osgb5000000000052830,...)","(3:1,3,18)","(4:7666MI,7666MT,7666MA,7666OW)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000389279)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"15","291226.7332320622","91897.00570889033","uk.addressbase.uprn.10024950414","I","2011-09-16","2016-02-10","2009-02-12","10024950414.0","1","NULL","NULL","1","7655","E","N","EX4 1AS","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2009-02-12)","(1:7655L101421523)","(1:1)","NULL","(1:14200217)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2008-12-23,2016-02-07,2006-03-18,2008-01-30)","(4:7655X600615955,7655X135480635,7655X900615955,7655X700615955)","(4:osgb4000000025384147,E05003506,osgb5000000000744391,...)","(3:8,12,3)","(4:7666MI,7666OW,7666MA,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2009-02-12)","(1:7655C000615955)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"16","291160.8309447898","91831.5009448592","uk.addressbase.uprn.10025395474","I","2012-02-02","2016-02-10","2011-09-01","10025395474.0","1","NULL","NULL","1","7655","E","N","EX4 1HS","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2012-02-02)","(1:2016-02-10)","(1:2013-06-08)","(1:7655L101864248)","(1:1)","NULL","(1:14200217)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2012-03-07,2012-01-08,2011-12-12)","(4:7655X106466157,7655X600896720,7655X900896720,7655X700896720)","(4:E05003506,osgb5000005102289746,osgb5000000018270933,...)","(3:1,4,1)","(4:7666OW,7666MI,7666MA,7666MT)","(1:2012-02-02)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000896720)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"17","291698.0393371881","91701.19720746789","uk.addressbase.uprn.10024665621","I","2011-09-16","2016-02-10","2008-12-18","10024665621.0","1","NULL","NULL","1","7655","E","N","EX2 8EZ","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2008-12-18)","(1:7655L101170252)","(1:1)","NULL","(1:14201657)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2015-07-23,2006-03-18,2008-01-30)","(4:7655X134368751,7655X600389280,7655X900389280,7655X700389280)","(4:E05003491,osgb5000005157730330,osgb5000000000052833,osgb1000012286160)","(3:1,16,4)","(4:7666OW,7666MI,7666MA,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-12-18)","(1:7655C000389280)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"18","291927.4401626947","91397.5922528003","uk.addressbase.uprn.10024657984","I","2011-09-16","2016-02-10","2011-09-01","10024657984.0","1","NULL","NULL","1","7655","E","N","EX2 8EG","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101159167)","(1:1)","NULL","(1:14200833)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-18,2016-02-07,2006-03-09,2006-03-17)","(4:7655X900396767,7655X134331571,7655X600396767,7655X700396767)","(4:osgb5000000000053833,E05003491,osgb4000000025306033,...)","(3:12,7,3)","(4:7666MA,7666OW,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000396767)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"19","291093.03062940156","91006.48767537673","uk.addressbase.uprn.10024666660","I","2011-09-16","2016-02-10","2008-04-21","10024666660.0","1","NULL","NULL","1","7655","E","N","EX2 9JL","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101171835)","(1:1)","NULL","(1:14200584)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2006-03-17,2005-09-16,2006-03-18)","(4:7655X134373792,7655X700405425,7655X600405425,7655X900405425)","(4:E05003491,osgb1000000347999820,osgb4000000025320388,...)","(3:3,3,9)","(4:7666OW,7666MT,7666MI,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655C000405425)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
