"shapeid","x","y","best_server"
"864.0","291521.062664016","91899.95122126315","22"
"868.0","291236.772","91656.119","3"
"868.0","291226.28928022593","91638.07021957177","3"
"869.0","291158.52804304933","91684.62598619742","3"
"869.0","291151.827","91695.718","3"
"869.0","291192.597","91723.909","3"
"870.0","291226.28928022593","91638.07021957177","3"
"870.0","291222.676","91631.849","3"
"870.0","291220.62","91628.796","3"
"870.0","291182.852","91634.725","3"
"870.0","291164.254","91675.148","3"
"870.0","291158.52804304933","91684.62598619742","3"
"871.0","291308.07394298556","91483.65537003486","6"
"871.0","291288.281","91423.147","6"
"871.0","291281.944","91403.444","6"
"871.0","291273.111","91375.98","6"
"872.0","291318.0","91514.0","6"
"872.0","291308.07394298556","91483.65537003486","6"
"881.0","291129.0","91020.0","19"
"881.0","291086.0","91065.0","19"
"881.0","291050.0","91042.0","19"
"881.0","291043.0","91017.0","19"
"882.0","291377.0","91092.0","1"
"882.0","291319.0","91043.0","1"
"882.0","291266.0","91020.0","1"
"882.0","291254.199","91006.232","1"
"889.0","291953.872","91690.74","5"
"889.0","291943.0576403946","91715.63668024303","5"
"890.0","291941.64820576354","91718.88146260763","5"
"890.0","291929.0","91748.0","14"
"890.0","291894.942","91795.632","14"
"891.0","291943.0576403946","91715.63668024303","5"
"891.0","291941.64820576354","91718.88146260763","5"
"892.0","291946.0","91638.0","5"
"892.0","291953.872","91690.74","5"
"893.0","291930.50911216834","91643.46737217587","5"
"893.0","291946.0","91638.0","5"
"894.0","291934.643","91697.927","5"
"894.0","291929.0","91644.0","5"
"894.0","291930.50911216834","91643.46737217587","5"
"897.0","291560.0","91422.0","1"
"897.0","291564.0181684632","91416.7620303962","1"
"898.0","291564.0181684632","91416.7620303962","1"
"898.0","291616.0","91349.0","13"
"899.0","291864.0","91596.0","8"
"899.0","291847.0","91521.0","8"
"900.0","291872.081","91824.458","14"
"900.0","291912.1273172043","91850.31758855894","2"
"901.0","291912.1273172043","91850.31758855894","2"
"901.0","291963.52381717646","91883.50646672392","2"
"902.0","291963.52381717646","91883.50646672392","2"
"902.0","291966.961","91885.726","9"
"903.0","291635.34586","91953.67959","22"
"929.0","291997.42346","91992.85322","9"
"929.0","291993.73499","91989.24483","9"
"929.0","291977.928","91973.781","9"
"929.0","291972.0","91959.0","9"
"930.0","291784.0","91835.0","10"
"930.0","291777.742","91884.812","10"
"931.0","291609.0","91571.0","17"
"931.0","291560.72000000003","91586.362","20"
"1115.0","291423.359","91568.545","20"
"1115.0","291407.0","91519.0","20"
"1116.0","291025.2061604802","91966.88289091221",""
"1117.0","291025.2061604802","91966.88289091221",""
"1117.0","291025.947","91960.999",""
"1118.0","291334.0","91921.0","15"
"1118.0","291340.4900127139","91925.63572336706","15"
"1119.0","291340.4900127139","91925.63572336706","15"
"1119.0","291418.0","91981.0","12"
"1120.0","291280.0","91803.0","11"
"1120.0","291251.0","91776.0","11"
"1120.0","291242.362","91755.932","11"
"1121.0","291387.5378020783","91783.72597700755","11"
"1121.0","291407.0","91763.0","11"
"1122.0","291330.0","91845.0","11"
"1122.0","291387.5378020783","91783.72597700755","11"
"1123.0","291110.92096974386","91660.66887692256","4"
"1123.0","291096.0","91687.0","4"
"1123.0","291063.0","91710.0","4"
"1123.0","291047.0","91732.0","4"
"1124.0","291113.0","91657.0","4"
"1124.0","291110.92096974386","91660.66887692256","4"
"1125.0","291046.2974088972","91620.23116112378","4"
"1125.0","291092.7804992541","91645.85429257258","4"
"1126.0","291046.2974088972","91620.23116112378","4"
"1127.0","291092.7804992541","91645.85429257258","4"
"1127.0","291113.0","91657.0","4"
"1128.0","291291.023","91619.395","3"
"1128.0","291241.652","91661.203","3"
"1128.0","291241.411","91661.407","3"
"1129.0","291520.0","91765.0","11"
"1129.0","291510.5548337617","91775.05173654719","11"
"1130.0","291510.5548337617","91775.05173654719","11"
"1130.0","291411.0","91881.0","11"
"1131.0","291480.0194449575","91751.21084388626","11"
"1131.0","291494.0","91736.0","11"
"1132.0","291461.1749963625","91771.71360395761","11"
"1132.0","291480.0194449575","91751.21084388626","11"
"1133.0","291369.0","91872.0","11"
"1133.0","291374.55793045415","91865.9529716659","11"
"1134.0","291374.55793045415","91865.9529716659","11"
"1134.0","291461.1749963625","91771.71360395761","11"
"1135.0","291600.266","91722.034","20"
"1135.0","291583.99055162095","91746.6143638435","20"
"1136.0","291583.99055162095","91746.6143638435","20"
"1136.0","291570.186","91767.463","11"
"1137.0","291530.090128858","91736.77926992772","11"
"1137.0","291511.02","91711.22","11"
"1138.0","291538.1022503109","91747.51773826386","11"
"1138.0","291530.090128858","91736.77926992772","11"
"1139.0","291570.186","91767.463","11"
"1139.0","291539.82","91749.82","11"
"1139.0","291538.1022503109","91747.51773826386","11"
"1232.0","291416.0","91269.0","6"
"1232.0","291380.7440774852","91283.28088000602","6"
"1233.0","291380.7440774852","91283.28088000602","6"
"1233.0","291337.0","91301.0","6"
"1234.0","291337.0","91301.0","6"
"1234.0","291258.0","91329.0","6"
"1240.0","291129.0","91020.0","19"
"1241.0","291506.0","91210.0","1"
"1241.0","291495.0","91110.0","1"
"1242.0","291388.50223877","91110.52308581145","1"
"1242.0","291381.7456638329","91099.64236773086","1"
"1243.0","291381.7456638329","91099.64236773086","1"
"1243.0","291377.0","91092.0","1"
"1244.0","291454.0","91216.0","1"
"1244.0","291388.50223877","91110.52308581145","1"
"1245.0","291476.0","91005.0",""
"1246.0","291402.0","91002.0",""
"1308.0","291674.0","91881.0","22"
"1308.0","291684.40310252307","91880.32150694606","22"
"1309.0","291684.40310252307","91880.32150694606","22"
"1309.0","291711.887","91878.529","22"
"1309.0","291728.082","91883.844","22"
"1441.0","291544.75","91867.437","22"
"1441.0","291602.203","91912.543","22"
"1441.0","291624.418","91924.405","22"
"1441.0","291640.0","91929.0","22"
"1441.0","291644.36843","91930.28821","22"
"1489.0","291727.0","91334.0","13"
"1489.0","291683.0","91272.0","13"
"1490.0","291632.9392053513","91363.03534157676","13"
"1490.0","291651.0","91378.0","13"
"1490.0","291671.0","91373.0","13"
"1490.0","291727.0","91334.0","13"
"1491.0","291616.0","91349.0","13"
"1491.0","291632.9392053513","91363.03534157676","13"
"1492.0","291683.0","91272.0","13"
"1492.0","291667.48395542824","91257.453708214","13"
"1493.0","291667.48395542824","91257.453708214","13"
"1493.0","291635.0","91227.0","13"
"1494.0","291791.0","91049.0","0"
"1494.0","291694.935","91041.643","0"
"1495.0","291625.31571407535","91025.69209998527","1"
"1495.0","291544.0","91020.0","1"
"1496.0","291644.0","91027.0","1"
"1496.0","291625.31571407535","91025.69209998527","1"
"1704.0","291660.16856328654","91863.31376697912","22"
"1704.0","291660.0","91871.0","22"
"1705.0","291662.0","91779.803","21"
"1705.0","291660.16856328654","91863.31376697912","22"
"1756.0","291694.935","91041.643","0"
"1756.0","291689.862","91089.787","0"
"1757.0","291947.2257209281","91282.84884559881",""
"1757.0","291967.8","91261.6",""
"1758.0","291919.0","91312.0",""
"1758.0","291947.2257209281","91282.84884559881",""
"1841.0","291442.0","91625.0","20"
"1841.0","291402.86728366127","91637.71813281009","3"
"1842.0","291402.86728366127","91637.71813281009","3"
"1842.0","291362.0","91651.0","3"
"1843.0","291521.0","91599.0","20"
"1843.0","291442.0","91625.0","20"
"1844.0","291521.0","91599.0","20"
"1844.0","291537.0","91647.0","20"
"1844.0","291557.8461368588","91684.72158098264","20"
"1845.0","291557.8461368588","91684.72158098264","20"
"1845.0","291558.0","91685.0","20"
"1845.0","291575.0","91708.0","20"
"1845.0","291600.266","91722.034","20"
"1846.0","291478.0","91463.0","20"
"1846.0","291565.0","91436.0","1"
"1847.0","291236.772","91656.119","3"
"1847.0","291220.364","91671.188","3"
"1847.0","291219.767","91686.037","3"
"1847.0","291201.8211285017","91711.0515765692","3"
"1848.0","291201.8211285017","91711.0515765692","3"
"1848.0","291192.597","91723.909","3"
"1849.0","291241.411","91661.407","3"
"1849.0","291272.502","91699.978","3"
"1849.0","291257.218","91713.936","3"
"1849.0","291226.4719083539","91736.58145967244","3"
"1850.0","291226.4719083539","91736.58145967244","3"
"1850.0","291218.944","91742.126","3"
"1850.0","291192.597","91723.909","3"
"1851.0","291473.427","91713.181","20"
"1851.0","291466.0","91704.0","20"
"1851.0","291442.0","91625.0","20"
"1920.0","291330.0","91845.0","11"
"1920.0","291300.515","91821.621","11"
"1920.0","291280.0","91803.0","11"
"1921.0","291291.023","91619.395","3"
"1921.0","291268.6397098775","91595.40394667695","3"
"1922.0","291268.6397098775","91595.40394667695","3"
"1922.0","291258.0","91584.0","23"
"1922.0","291230.0","91571.0","23"
"2085.0","291520.0","91278.0","1"
"2085.0","291512.0","91246.0","1"
"2086.0","291506.0","91210.0","1"
"2086.0","291454.0","91216.0","1"
"2165.0","291635.0","91227.0","13"
"2165.0","291597.0","91192.0","13"
"2166.0","291768.241315581","91392.91573942338","13"
"2166.0","291750.0","91366.857","13"
"2166.0","291727.0","91334.0","13"
"2167.0","291768.427","91393.181","13"
"2167.0","291768.241315581","91392.91573942338","13"
"2191.0","291429.0","91479.0","20"
"2191.0","291478.0","91463.0","20"
"2192.0","291442.0","91625.0","20"
"2192.0","291423.359","91568.545","20"
"2193.0","291576.625","91471.844","1"
"2193.0","291565.0","91436.0","1"
"2213.0","291152.079","91796.647","16"
"2213.0","291132.162","91823.346","16"
"2213.0","291120.353","91839.449","16"
"2214.0","291226.553","91505.141","23"
"2214.0","291221.547","91535.542","23"
"2214.0","291210.0","91561.0","23"
"2228.0","291172.0","91542.0","23"
"2228.0","291158.0","91569.0","23"
"2259.0","291001.0","91450.0",""
"2285.0","291560.72000000003","91586.362","20"
"2285.0","291521.0","91599.0","20"
"2309.0","291210.0","91561.0","23"
"2309.0","291172.0","91542.0","23"
"2310.0","291158.0","91569.0","23"
"2310.0","291136.0","91613.0","23"
"2311.0","291194.0","91598.0","23"
"2311.0","291217.0","91597.0","23"
"2311.0","291230.0","91571.0","23"
"2312.0","291362.0","91651.0","3"
"2312.0","291332.0","91667.0","3"
"2312.0","291291.023","91619.395","3"
"2313.0","291418.0","91981.0","12"
"2314.0","291418.0","91981.0","12"
"2314.0","291446.0","91945.0","12"
"2315.0","291520.0","91765.0","11"
"2315.0","291519.86415045033","91764.84847550231","11"
"2316.0","291514.38376497995","91758.73573786228","11"
"2316.0","291494.0","91736.0","11"
"2317.0","291519.86415045033","91764.84847550231","11"
"2317.0","291514.38376497995","91758.73573786228","11"
"2318.0","291407.0","91763.0","11"
"2318.0","291450.0","91719.0","11"
"2408.0","291662.0","91724.0","17"
"2408.0","291662.0","91745.07864039765","17"
"2409.0","291662.0","91745.07864039765","17"
